filename,fate,head,heart,life,palm_width,line_density
Hand_0004652_jpg.rf.36adb96cf4b8bced3011c280a303e714.jpg,0,1,0,1,0,0
Hand_0004652_jpg.rf.d3c93d18e5ef0d697914af3df0196a64.jpg,1,0,0,1,1,0
Hand_0004654_jpg.rf.6593d8ed2da4a7ac9675bbe582a77a9a.jpg,0,1,0,0,1,1
Hand_0004647_jpg.rf.32264e003724e5d97fa8fd41f136fdbe.jpg,1,0,1,1,0,0
Hand_0004660_jpg.rf.6bf297b8e2354d1d0745c6e6f446158e.jpg,1,1,1,0,1,1
Hand_0004645_jpg.rf.39187ac5badfc625d90886bf87692489.jpg,0,1,1,1,0,1
Hand_0004654_jpg.rf.7136b2a3d83855b8a14b28908aeb646e.jpg,1,1,0,1,1,0
FIMG_0352_JPG_jpg.rf.cee88ffe989b11d67c79133a94af7511.jpg,0,1,0,1,1,0
FIMG_0352_JPG_jpg.rf.4cc465e937d521a9e512fab17b2785a7.jpg,1,1,1,1,0,1
Hand_0004647_jpg.rf.3d23cced1240dcd0a3fc4049ab0f99f2.jpg,1,1,0,0,0,0
Hand_0004593_jpg.rf.2346930678bdda6f797bb63389b7527e.jpg,1,0,1,1,0,1
Hand_0004512_jpg.rf.7a11ec92c4cce76e830a929e2774fa77.jpg,1,0,0,1,1,1
Hand_0004660_jpg.rf.d6267a653ab7f1bbc4f92f7d75fd5eab.jpg,1,1,0,1,1,0
Hand_0004515_jpg.rf.407bd1ff7b6b2df666fa8967f86d66ff.jpg,1,1,1,1,0,1
Hand_0004647_jpg.rf.0bc4b5ab4834813d72beca80b65eb800.jpg,1,1,1,1,0,1
Hand_0004511_jpg.rf.03d66e68625a65ee2570d73e540a1e43.jpg,1,1,1,1,0,0
Hand_0004516_jpg.rf.6f7335e87fd0e7e3139f8a4258ab2cd3.jpg,0,1,1,1,1,1
Hand_0004513_jpg.rf.3024ca109996a96154d17b15642ecc2c.jpg,1,1,1,1,0,0
Hand_0004514_jpg.rf.7897b76131e11b6ed5acf39aa40df301.jpg,0,1,1,1,1,1
Hand_0004654_jpg.rf.88566b84f3fe128a1b2993e185516d3f.jpg,1,0,0,1,1,1
Hand_0004591_jpg.rf.79d5d04946d997e997c14c341afae757.jpg,1,1,1,1,1,1
Hand_0004644_jpg.rf.971c167ae04b62cc603a40e05feb8f2c.jpg,0,1,1,1,1,1
Hand_0004515_jpg.rf.6f0156b0c5bbeafcb5a2da74d269c214.jpg,0,1,1,1,0,0
Hand_0004516_jpg.rf.8f3f6cadf4ae116d8aa7614843c9c7b9.jpg,1,0,1,0,0,0
Hand_0004645_jpg.rf.1f193dbf247c6ed3eb69a9ec0233b4ad.jpg,1,1,1,1,1,0
Hand_0004659_jpg.rf.00909bad700ac36b1883a9352b0143c2.jpg,0,0,1,1,0,0
Hand_0004659_jpg.rf.820e9fcb8fdf5ac31f8ba1afd1b2dc8c.jpg,1,0,0,0,0,0
Hand_0004595_jpg.rf.7bcfab0fa4fe69f33bcf80f5094fd174.jpg,1,1,0,0,1,1
Hand_0004512_jpg.rf.9679de36d4b6ae00fbae25081944d5ed.jpg,1,1,1,1,0,1
Hand_0004591_jpg.rf.dd39ef4292121d7ed74f53013c71366a.jpg,1,1,0,1,0,1
